Date ,Revenue
01/01/2023,6075
01/02/2023,9958
01/03/2023,8877
01/04/2023,6051
01/05/2023,6044
01/06/2023,7676
01/07/2023,9117
01/08/2023,7083
01/09/2023,9404
01/10/2023,6008
01/11/2023,6974
01/12/2023,8364
01/13/2023,9917
01/14/2023,9111
01/15/2023,9274
01/16/2023,8480
01/17/2023,6536
01/18/2023,9156
01/19/2023,6449
01/20/2023,8195
01/21/2023,6051
01/22/2023,9967
01/23/2023,6674
01/24/2023,8809
01/25/2023,6154
01/26/2023,7773
01/27/2023,7768
01/28/2023,9673
01/29/2023,6000
01/30/2023,6331
01/31/2023,6463
02/01/2023,7325
02/02/2023,9062
02/03/2023,8827
02/04/2023,6673
02/05/2023,8950
02/06/2023,9557
02/07/2023,8293
02/08/2023,8098
02/09/2023,6354
02/10/2023,8827
02/11/2023,6998
02/12/2023,8430
02/13/2023,9982
02/14/2023,7887
02/15/2023,9233
02/16/2023,9948
02/17/2023,6701
02/18/2023,9983
02/19/2023,6812
02/20/2023,8800
02/21/2023,7814
02/22/2023,9282
02/23/2023,6094
02/24/2023,9599
02/25/2023,9278
02/26/2023,6546
02/27/2023,9088
02/28/2023,9079
03/01/2023,8862
03/02/2023,7389
03/03/2023,7786
03/04/2023,8978
03/05/2023,8765
03/06/2023,8380
03/07/2023,6446
03/08/2023,9597
03/09/2023,8278
03/10/2023,8702
03/11/2023,7667
03/12/2023,9486
03/13/2023,7777
03/14/2023,7980
03/15/2023,8990
03/16/2023,6442
03/17/2023,9054
03/18/2023,8497
03/19/2023,8584
03/20/2023,7717
03/21/2023,7211
03/22/2023,7429
03/23/2023,8991
03/24/2023,6325
03/25/2023,6953
03/26/2023,7614
03/27/2023,9041
03/28/2023,8758
03/29/2023,7917
03/30/2023,7213
03/31/2023,9052
04/01/2023,7916
04/02/2023,9682
04/03/2023,9577
04/04/2023,9567
04/05/2023,6195
04/06/2023,7076
04/07/2023,9200
04/08/2023,8158
04/09/2023,7837
04/10/2023,6257
04/11/2023,8722
04/12/2023,8409
04/13/2023,6192
04/14/2023,6895
04/15/2023,8066
04/16/2023,7610
04/17/2023,6927
04/18/2023,9714
04/19/2023,8549
04/20/2023,6292
04/21/2023,6429
04/22/2023,6939
04/23/2023,6785
04/24/2023,6196
04/25/2023,8943
04/26/2023,8796
04/27/2023,6909
04/28/2023,6585
04/29/2023,9172
04/30/2023,7989
05/01/2023,7781
05/02/2023,7557
05/03/2023,7785
05/04/2023,6026
05/05/2023,8711
05/06/2023,9813
05/07/2023,9100
05/08/2023,8486
05/09/2023,8114
05/10/2023,6144
05/11/2023,6736
05/12/2023,7420
05/13/2023,8900
05/14/2023,6466
05/15/2023,7818
05/16/2023,7989
05/17/2023,7615
05/18/2023,7235
05/19/2023,6986
05/20/2023,6260
05/21/2023,9557
05/22/2023,8026
05/23/2023,8659
05/24/2023,6898
05/25/2023,8051
05/26/2023,8356
05/27/2023,6326
05/28/2023,7786
05/29/2023,9093
05/30/2023,9804
05/31/2023,9374
06/01/2023,9112
06/02/2023,7764
06/03/2023,9955
06/04/2023,6788
06/05/2023,7941
06/06/2023,6609
06/07/2023,8757
06/08/2023,9285
06/09/2023,7081
06/10/2023,9824
06/11/2023,6502
06/12/2023,7345
06/13/2023,8899
06/14/2023,6856
06/15/2023,7079
06/16/2023,9963
06/17/2023,7523
06/18/2023,7356
06/19/2023,7995
06/20/2023,9671
06/21/2023,9182
06/22/2023,9441
06/23/2023,7105
06/24/2023,9265
06/25/2023,9419
06/26/2023,6743
06/27/2023,8746
06/28/2023,8693
06/29/2023,7404
06/30/2023,9553
07/01/2023,9582
07/02/2023,7117
07/03/2023,6788
07/04/2023,6209
07/05/2023,9176
07/06/2023,7602
07/07/2023,7224
07/08/2023,9021
07/09/2023,6071
07/10/2023,7021
07/11/2023,6149
07/12/2023,7095
07/13/2023,9929
07/14/2023,7011
07/15/2023,9148
07/16/2023,6807
07/17/2023,7745
07/18/2023,9954
07/19/2023,8149
07/20/2023,9604
07/21/2023,6163
07/22/2023,7510
07/23/2023,8384
07/24/2023,8952
07/25/2023,6211
07/26/2023,8607
07/27/2023,6422
07/28/2023,6576
07/29/2023,7197
07/30/2023,9733
07/31/2023,6907
08/01/2023,7352
08/02/2023,8306
08/03/2023,7281
08/04/2023,9984
08/05/2023,7396
08/06/2023,8272
08/07/2023,6069
08/08/2023,7945
08/09/2023,6971
08/10/2023,9607
08/11/2023,9564
08/12/2023,9869
08/13/2023,7076
08/14/2023,7389
08/15/2023,8583
08/16/2023,6794
08/17/2023,7209
08/18/2023,7827
08/19/2023,6103
08/20/2023,8218
08/21/2023,6602
08/22/2023,6050
08/23/2023,6959
08/24/2023,9565
08/25/2023,7014
08/26/2023,6081
08/27/2023,6222
08/28/2023,7969
08/29/2023,6061
08/30/2023,8674
08/31/2023,9790
09/01/2023,8977
09/02/2023,8428
09/03/2023,8871
09/04/2023,6522
09/05/2023,6729
09/06/2023,6377
09/07/2023,8588
09/08/2023,7633
09/09/2023,9159
09/10/2023,7850
09/11/2023,8492
09/12/2023,9304
09/13/2023,9490
09/14/2023,9510
09/15/2023,6369
09/16/2023,6085
09/17/2023,7469
09/18/2023,9604
09/19/2023,6901
09/20/2023,8743
09/21/2023,8725
09/22/2023,8624
09/23/2023,8180
09/24/2023,7112
09/25/2023,7691
09/26/2023,6411
09/27/2023,8176
09/28/2023,6658
09/29/2023,9493
09/30/2023,6750
10/01/2023,8263
10/02/2023,9503
10/03/2023,7351
10/04/2023,9006
10/05/2023,8734
10/06/2023,8317
10/07/2023,9342
10/08/2023,7014
10/09/2023,6817
10/10/2023,8714
10/11/2023,7090
10/12/2023,6745
10/13/2023,8652
10/14/2023,9754
10/15/2023,9395
10/16/2023,7043
10/17/2023,8228
10/18/2023,6958
10/19/2023,7459
10/20/2023,9719
10/21/2023,7527
10/22/2023,8962
10/23/2023,8293
10/24/2023,9010
10/25/2023,8599
10/26/2023,6933
10/27/2023,9003
10/28/2023,8298
10/29/2023,7468
10/30/2023,8990
10/31/2023,9465
11/01/2023,6958
11/02/2023,6776
11/03/2023,6320
11/04/2023,6100
11/05/2023,7636
11/06/2023,9492
11/07/2023,8967
11/08/2023,9822
11/09/2023,7684
11/10/2023,8670
11/11/2023,7512
11/12/2023,7373
11/13/2023,7240
11/14/2023,7886
11/15/2023,8033
11/16/2023,9729
11/17/2023,9514
11/18/2023,9157
11/19/2023,6651
11/20/2023,7594
11/21/2023,8411
11/22/2023,9369
11/23/2023,9635
11/24/2023,7409
11/25/2023,8070
11/26/2023,7689
11/27/2023,6913
11/28/2023,8819
11/29/2023,6959
11/30/2023,6438
12/01/2023,8296
12/02/2023,7134
12/03/2023,8592
12/04/2023,6365
12/05/2023,7197
12/06/2023,9210
12/07/2023,9485
12/08/2023,8716
12/09/2023,6771
12/10/2023,9517
12/11/2023,7937
12/12/2023,7217
12/13/2023,8788
12/14/2023,9765
12/15/2023,7648
12/16/2023,8432
12/17/2023,9817
12/18/2023,7336
12/19/2023,8024
12/20/2023,6488
12/21/2023,7573
12/22/2023,6856
12/23/2023,6280
12/24/2023,9380
12/25/2023,8493
12/26/2023,8489
12/27/2023,6468
12/28/2023,7485
12/29/2023,6349
12/30/2023,8872
12/31/2023,9136
